Country,State,Latitude (generated),Longitude (generated),Count
USA,WY,43,-107.5,81
USA,WV,38.63,-80.73,199
USA,WI,44.5,-90,1703
USA,WA,47.5,-120.5,1650
USA,VT,44.1584,-72.7678,197
USA,VA,37.77,-78.24,2834
USA,UT,39.25,-111.75,1824
USA,TX,31.25,-99.25,9761
USA,TN,35.75,-86.25,1942
USA,SD,44.5,-100.25,118
USA,SC,34,-81,1503
USA,RI,41.4966,-71.4757,311
USA,PR,18.24,-66.64,32
USA,PA,40.86,-77.9,2484
USA,OR,44,-120.5,1074
USA,OK,35.5,-97.5,745
USA,OH,40.25,-83,2559
USA,NY,43,-75.49,2709
USA,NV,39.25,-116.75,1059
USA,NM,34.5,-106,362
USA,NJ,40.16,-74.49,2515
USA,NH,43.66,-71.49,465
USA,NE,41.5,-99.75,420
USA,ND,47.5,-100,110
USA,NC,35.5,-80,3503
USA,MT,47,-109.75,109
USA,MS,33.503,-89.8071,418
USA,MO,38.25,-92.5,1605
USA,MN,46.25,-94.25,1999
USA,MI,43.1045,-84.6165,4044
USA,ME,45.5,-69.24,119
USA,MD,39.4444,-77.0834,3234
USA,MA,42.3616,-72.1839,2595
USA,LA,30.6935,-92.241,731
USA,KY,37.79,-84.87,774
USA,KS,38.5,-98.5,728
USA,IN,40,-86.25,1864
USA,IL,40,-89.25,5720
USA,ID,44.0739,-114.542,373
USA,IA,42,-93.5,629
USA,HI,20.79,-156.34,40
USA,GA,32.1598,-83.4715,4226
USA,FL,28.42,-81.55,5968
USA,DE,38.6716,-75.4165,193
USA,DC,38.91,-77,258
USA,CT,41.6227,-72.7028,874
USA,CO,39,-105.5,2540
USA,CA,37.25,-119.75,8399
USA,AZ,34.5,-111.5,2603
USA,AR,34.75,-92.5,838
USA,AL,32.75,-86.75,1041
USA,AK,64,-150,56
Canada,YT,62.86,-135.76,4
Canada,SK,54.49,-105.68,268
Canada,QC,53.02,-72.58,760
Canada,PE,46.32,-63.19,7
Canada,ON,50.94,-84.75,7707
Canada,NU,64.02,-96.38,2
Canada,NT,64.45,-120.2,3
Canada,NS,45,-63.58,59
Canada,NL,53.63,-61.37,26
Canada,NB,46.57,-66.41,47
Canada,MB,55.0085,-97.1771,268
Canada,BC,54.9464,-125.1024,485
Canada,AB,53.41,-114.42,4435
Mexico,,23.635,-102.5528,43
